Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
100658,13-01-2025 04:41,13-01-2025 01:41,13-01-2025 01:41,Hyderabad,529,PUBLIC INTOXICATION,49,F,None,Other Crime,7,Yes,27-02-2025 04:41
100659,24-03-2025 10:21,23-03-2025 16:21,23-03-2025 16:21,Surat,259,HOMICIDE,37,M,Explosives,Other Crime,7,No,
100660,16-08-2025 19:41,16-08-2025 09:41,16-08-2025 09:41,Visakhapatnam,231,ILLEGAL POSSESSION,16,M,Other,Other Crime,26,No,
100661,03-03-2025 21:17,02-03-2025 22:17,02-03-2025 22:17,Mumbai,418,ROBBERY,15,M,Blunt Object,Violent Crime,1,No,
100662,04-05-2025 03:07,03-05-2025 10:07,03-05-2025 10:07,Jaipur,532,ASSAULT,27,M,Firearm,Violent Crime,1,No,
100663,19-04-2025 23:48,19-04-2025 05:48,19-04-2025 05:48,Surat,187,ILLEGAL POSSESSION,79,F,None,Fire Accident,6,Yes,20-06-2025 23:48
100664,27-05-2025 14:52,26-05-2025 21:52,26-05-2025 21:52,Rajkot,278,ASSAULT,56,M,Knife,Other Crime,4,No,
100665,14-11-2025 07:56,12-11-2025 20:56,12-11-2025 20:56,Faridabad,341,TRAFFIC VIOLATION,15,M,Knife,Traffic Fatality,14,No,
100666,16-07-2025 15:17,15-07-2025 08:17,15-07-2025 08:17,Agra,109,ARSON,72,M,Knife,Fire Accident,2,Yes,27-07-2025 15:17
100667,24-10-2025 23:25,22-10-2025 12:25,22-10-2025 12:25,Kalyan,249,FIREARM OFFENSE,20,M,Blunt Object,Fire Accident,3,Yes,14-12-2025 23:25
100668,28-06-2025 06:03,27-06-2025 01:03,27-06-2025 01:03,Nashik,226,HOMICIDE,73,F,Firearm,Fire Accident,25,No,
100669,03-09-2025 04:46,02-09-2025 20:46,02-09-2025 20:46,Srinagar,452,IDENTITY THEFT,29,F,None,Violent Crime,28,No,
100670,10-11-2025 23:04,08-11-2025 14:04,08-11-2025 14:04,Pune,288,ARSON,45,F,Blunt Object,Fire Accident,22,Yes,18-01-2026 23:04
100671,06-05-2025 02:01,05-05-2025 10:01,05-05-2025 10:01,Indore,503,VANDALISM,60,F,Blunt Object,Violent Crime,8,Yes,28-06-2025 02:01
100672,10-06-2025 11:32,10-06-2025 07:32,10-06-2025 07:32,Bhopal,421,DRUG OFFENSE,20,F,Blunt Object,Fire Accident,3,Yes,26-08-2025 11:32
100673,24-01-2025 14:17,23-01-2025 02:17,23-01-2025 02:17,Ludhiana,502,ASSAULT,10,F,Knife,Other Crime,13,No,
100674,15-02-2025 20:52,14-02-2025 17:52,14-02-2025 17:52,Pune,506,EXTORTION,45,F,Other,Other Crime,6,Yes,12-04-2025 20:52
100675,22-12-2025 14:50,22-12-2025 07:50,22-12-2025 07:50,Ghaziabad,103,EXTORTION,10,F,None,Other Crime,26,Yes,04-03-2026 14:50
100676,22-06-2025 06:26,21-06-2025 18:26,21-06-2025 18:26,Bangalore,200,VANDALISM,59,M,Poison,Violent Crime,16,Yes,12-07-2025 06:26
100677,16-06-2025 14:16,15-06-2025 06:16,15-06-2025 06:16,Ludhiana,381,COUNTERFEITING,43,M,Knife,Other Crime,9,Yes,19-06-2025 14:16
100678,11-11-2025 19:08,09-11-2025 14:08,09-11-2025 14:08,Faridabad,481,TRAFFIC VIOLATION,28,F,Blunt Object,Traffic Fatality,30,Yes,09-01-2026 19:08
100679,29-10-2025 00:03,27-10-2025 09:03,27-10-2025 09:03,Jaipur,291,ARSON,70,F,Blunt Object,Violent Crime,17,No,
100680,28-12-2025 05:07,26-12-2025 06:07,26-12-2025 06:07,Vasai,493,DRUG OFFENSE,46,F,None,Other Crime,29,Yes,23-03-2026 05:07
100681,27-12-2025 22:42,25-12-2025 03:42,25-12-2025 03:42,Nagpur,538,VANDALISM,27,M,Firearm,Violent Crime,10,Yes,19-02-2026 22:42
100682,17-11-2025 20:11,15-11-2025 14:11,15-11-2025 14:11,Patna,255,ILLEGAL POSSESSION,20,M,None,Violent Crime,22,No,
100683,14-02-2025 19:59,12-02-2025 16:59,12-02-2025 16:59,Meerut,563,VEHICLE - STOLEN,15,M,Other,Fire Accident,1,Yes,10-03-2025 19:59
100684,29-05-2025 14:29,26-05-2025 16:29,26-05-2025 16:29,Nashik,296,KIDNAPPING,54,F,Knife,Violent Crime,30,No,
100685,07-04-2025 01:46,05-04-2025 06:46,05-04-2025 06:46,Ghaziabad,112,TRAFFIC VIOLATION,80,F,Knife,Fire Accident,2,Yes,19-04-2025 01:46
100686,03-03-2025 23:01,03-03-2025 15:01,03-03-2025 15:01,Lucknow,311,CYBERCRIME,76,M,Knife,Traffic Fatality,14,No,
100687,08-03-2025 05:18,06-03-2025 23:18,06-03-2025 23:18,Visakhapatnam,278,VEHICLE - STOLEN,65,F,Other,Fire Accident,12,Yes,18-05-2025 05:18
100688,02-03-2025 18:02,01-03-2025 21:02,01-03-2025 21:02,Ghaziabad,223,PUBLIC INTOXICATION,49,F,Other,Violent Crime,17,No,
100689,28-04-2025 00:11,27-04-2025 16:11,27-04-2025 16:11,Kolkata,536,BURGLARY,49,M,Poison,Other Crime,9,No,
100690,15-06-2025 18:12,14-06-2025 03:12,14-06-2025 03:12,Meerut,396,VANDALISM,55,F,Explosives,Traffic Fatality,8,No,
100691,20-05-2025 02:07,18-05-2025 12:07,18-05-2025 12:07,Pune,385,ILLEGAL POSSESSION,34,M,Blunt Object,Other Crime,4,No,
100692,28-04-2025 00:17,27-04-2025 04:17,27-04-2025 04:17,Meerut,572,FRAUD,57,F,None,Fire Accident,11,No,
100693,12-04-2025 11:38,12-04-2025 03:38,12-04-2025 03:38,Agra,200,VEHICLE - STOLEN,66,F,Firearm,Traffic Fatality,10,Yes,01-07-2025 11:38
100694,05-03-2025 09:18,03-03-2025 10:18,03-03-2025 10:18,Visakhapatnam,167,DRUG OFFENSE,24,M,Firearm,Fire Accident,11,Yes,20-04-2025 09:18
100695,02-06-2025 13:22,01-06-2025 05:22,01-06-2025 05:22,Ludhiana,444,DRUG OFFENSE,19,F,Firearm,Other Crime,28,Yes,11-08-2025 13:22
100696,19-07-2025 14:11,17-07-2025 06:11,17-07-2025 06:11,Varanasi,547,PUBLIC INTOXICATION,14,M,Firearm,Fire Accident,1,Yes,16-08-2025 14:11
100697,07-11-2025 09:35,06-11-2025 19:35,06-11-2025 19:35,Kalyan,371,VEHICLE - STOLEN,27,M,Blunt Object,Violent Crime,17,No,
100698,21-05-2025 12:29,20-05-2025 02:29,20-05-2025 02:29,Kolkata,197,PUBLIC INTOXICATION,41,F,Other,Traffic Fatality,14,No,
100699,05-03-2025 16:56,02-03-2025 16:56,02-03-2025 16:56,Thane,446,COUNTERFEITING,42,F,Other,Traffic Fatality,6,No,
100700,08-06-2025 16:08,06-06-2025 08:08,06-06-2025 08:08,Ludhiana,142,TRAFFIC VIOLATION,11,M,Firearm,Traffic Fatality,8,No,
100701,09-01-2025 11:02,08-01-2025 14:02,08-01-2025 14:02,Varanasi,167,DOMESTIC VIOLENCE,26,M,Firearm,Traffic Fatality,26,No,
100702,05-03-2025 05:23,04-03-2025 03:23,04-03-2025 03:23,Mumbai,574,ROBBERY,79,F,Explosives,Fire Accident,27,No,
100703,03-03-2025 02:12,02-03-2025 19:12,02-03-2025 19:12,Ghaziabad,263,VANDALISM,51,M,Poison,Violent Crime,14,Yes,16-05-2025 02:12
100704,20-10-2025 04:03,18-10-2025 14:03,18-10-2025 14:03,Meerut,205,CYBERCRIME,24,M,Other,Fire Accident,8,Yes,18-01-2026 04:03
100705,11-11-2025 13:15,08-11-2025 16:15,08-11-2025 16:15,Indore,386,HOMICIDE,15,M,None,Violent Crime,21,No,
100706,13-07-2025 11:51,12-07-2025 10:51,12-07-2025 10:51,Ludhiana,586,ILLEGAL POSSESSION,45,F,Knife,Other Crime,15,No,
100707,23-01-2025 19:49,21-01-2025 02:49,21-01-2025 02:49,Chennai,212,PUBLIC INTOXICATION,33,M,Knife,Traffic Fatality,17,No,
100708,03-04-2025 13:24,03-04-2025 09:24,03-04-2025 09:24,Chennai,176,VEHICLE - STOLEN,29,F,None,Other Crime,24,No,
100709,08-12-2025 18:33,07-12-2025 09:33,07-12-2025 09:33,Thane,198,VANDALISM,62,M,Poison,Other Crime,1,No,
100710,08-10-2025 11:02,08-10-2025 10:02,08-10-2025 10:02,Indore,408,VEHICLE - STOLEN,12,F,Poison,Violent Crime,16,No,
100711,07-10-2025 11:11,04-10-2025 11:11,04-10-2025 11:11,Kalyan,287,DRUG OFFENSE,55,F,Firearm,Traffic Fatality,8,No,
100712,05-07-2025 16:52,04-07-2025 06:52,04-07-2025 06:52,Bangalore,379,ILLEGAL POSSESSION,52,F,Knife,Violent Crime,16,Yes,20-08-2025 16:52
100713,07-12-2025 22:15,05-12-2025 19:15,05-12-2025 19:15,Vasai,399,EXTORTION,38,F,Blunt Object,Traffic Fatality,11,Yes,20-01-2026 22:15
100714,20-11-2025 21:46,18-11-2025 02:46,18-11-2025 02:46,Bhopal,479,ROBBERY,35,M,Poison,Violent Crime,29,No,
100715,02-12-2025 21:14,30-11-2025 23:14,30-11-2025 23:14,Delhi,513,SEXUAL ASSAULT,68,M,Knife,Violent Crime,22,No,
100716,22-02-2025 15:36,22-02-2025 11:36,22-02-2025 11:36,Thane,153,EXTORTION,60,F,Other,Traffic Fatality,2,No,
100717,23-07-2025 05:20,21-07-2025 09:20,21-07-2025 09:20,Faridabad,314,BURGLARY,44,M,Explosives,Other Crime,10,No,
100718,02-10-2025 06:16,30-09-2025 07:16,30-09-2025 07:16,Kalyan,337,ARSON,59,M,None,Traffic Fatality,27,No,
100719,17-11-2025 21:13,15-11-2025 13:13,15-11-2025 13:13,Patna,580,CYBERCRIME,40,M,Other,Traffic Fatality,13,Yes,18-01-2026 21:13
100720,19-08-2025 06:14,18-08-2025 01:14,18-08-2025 01:14,Ghaziabad,413,FRAUD,22,M,Poison,Fire Accident,24,No,
100721,30-03-2025 01:05,27-03-2025 20:05,27-03-2025 20:05,Kalyan,228,FIREARM OFFENSE,28,M,Poison,Other Crime,21,Yes,29-04-2025 01:05
100722,19-07-2025 08:21,18-07-2025 19:21,18-07-2025 19:21,Indore,556,VANDALISM,11,M,None,Other Crime,19,Yes,07-10-2025 08:21
100723,15-09-2025 01:42,15-09-2025 00:42,15-09-2025 00:42,Kanpur,197,FIREARM OFFENSE,11,F,None,Other Crime,19,Yes,10-10-2025 01:42
100724,14-08-2025 00:11,13-08-2025 00:11,13-08-2025 00:11,Ahmedabad,481,ROBBERY,61,M,Poison,Violent Crime,29,No,
100725,25-01-2025 23:39,24-01-2025 04:39,24-01-2025 04:39,Lucknow,388,VEHICLE - STOLEN,69,F,None,Other Crime,4,No,
100726,08-03-2025 01:25,05-03-2025 07:25,05-03-2025 07:25,Varanasi,565,HOMICIDE,33,M,Other,Violent Crime,7,Yes,28-03-2025 01:25
100727,18-08-2025 07:47,17-08-2025 22:47,17-08-2025 22:47,Kanpur,232,FRAUD,46,F,Blunt Object,Fire Accident,19,Yes,26-10-2025 07:47
100728,29-03-2025 20:56,29-03-2025 16:56,29-03-2025 16:56,Jaipur,419,HOMICIDE,56,M,Firearm,Traffic Fatality,4,No,
100729,26-05-2025 05:38,24-05-2025 06:38,24-05-2025 06:38,Faridabad,364,COUNTERFEITING,22,F,Blunt Object,Violent Crime,30,Yes,16-06-2025 05:38
100730,19-01-2025 10:31,18-01-2025 15:31,18-01-2025 15:31,Delhi,346,VANDALISM,53,F,Explosives,Fire Accident,13,No,
100731,09-03-2025 19:54,06-03-2025 20:54,06-03-2025 20:54,Lucknow,500,DOMESTIC VIOLENCE,72,F,Blunt Object,Violent Crime,11,No,
100732,12-11-2025 09:09,10-11-2025 19:09,10-11-2025 19:09,Srinagar,435,KIDNAPPING,60,M,Explosives,Other Crime,7,Yes,01-12-2025 09:09
100733,24-09-2025 13:27,22-09-2025 10:27,22-09-2025 10:27,Ghaziabad,130,KIDNAPPING,25,F,Poison,Traffic Fatality,20,No,
100734,08-07-2025 09:22,08-07-2025 03:22,08-07-2025 03:22,Mumbai,528,ROBBERY,23,F,Firearm,Fire Accident,12,Yes,17-09-2025 09:22
100735,05-02-2025 21:04,04-02-2025 11:04,04-02-2025 11:04,Rajkot,277,DOMESTIC VIOLENCE,27,F,Firearm,Traffic Fatality,2,Yes,05-05-2025 21:04
100736,05-11-2025 08:59,05-11-2025 00:59,05-11-2025 00:59,Bhopal,310,EXTORTION,28,F,Knife,Other Crime,24,No,
100737,04-12-2025 14:09,01-12-2025 16:09,01-12-2025 16:09,Jaipur,350,VEHICLE - STOLEN,65,M,Other,Other Crime,13,No,
100738,09-10-2025 04:48,06-10-2025 16:48,06-10-2025 16:48,Srinagar,549,PUBLIC INTOXICATION,77,M,Knife,Violent Crime,6,No,
100739,25-01-2025 11:16,23-01-2025 21:16,23-01-2025 21:16,Pune,367,TRAFFIC VIOLATION,23,M,Firearm,Fire Accident,3,Yes,11-02-2025 11:16
100740,08-09-2025 03:59,07-09-2025 03:59,07-09-2025 03:59,Varanasi,351,ARSON,63,M,None,Traffic Fatality,18,No,
100741,11-08-2025 14:58,10-08-2025 22:58,10-08-2025 22:58,Agra,558,ARSON,73,F,Blunt Object,Other Crime,21,Yes,18-08-2025 14:58
100742,13-07-2025 00:00,11-07-2025 10:00,11-07-2025 10:00,Jaipur,517,FIREARM OFFENSE,62,M,Other,Violent Crime,23,Yes,03-08-2025 00:00
100743,04-04-2025 12:32,02-04-2025 11:32,02-04-2025 11:32,Vasai,502,DOMESTIC VIOLENCE,54,M,Other,Fire Accident,24,No,
100744,22-01-2025 07:41,21-01-2025 19:41,21-01-2025 19:41,Ghaziabad,283,ROBBERY,33,F,Blunt Object,Fire Accident,26,No,
100745,17-02-2025 05:11,15-02-2025 00:11,15-02-2025 00:11,Thane,444,VEHICLE - STOLEN,15,M,Blunt Object,Traffic Fatality,11,No,
100746,17-01-2025 13:18,16-01-2025 12:18,16-01-2025 12:18,Nashik,294,KIDNAPPING,65,M,Blunt Object,Traffic Fatality,19,Yes,08-02-2025 13:18
100747,05-05-2025 23:14,02-05-2025 23:14,02-05-2025 23:14,Varanasi,289,CYBERCRIME,36,F,Blunt Object,Other Crime,25,No,
100748,09-02-2025 04:55,07-02-2025 11:55,07-02-2025 11:55,Vasai,481,DRUG OFFENSE,42,M,Explosives,Other Crime,19,Yes,19-04-2025 04:55
100749,15-03-2025 14:49,14-03-2025 19:49,14-03-2025 19:49,Mumbai,359,IDENTITY THEFT,38,M,Knife,Traffic Fatality,20,No,
100750,23-06-2025 21:38,21-06-2025 01:38,21-06-2025 01:38,Patna,346,TRAFFIC VIOLATION,46,F,Knife,Traffic Fatality,22,No,
100751,13-02-2025 09:16,12-02-2025 01:16,12-02-2025 01:16,Rajkot,106,VANDALISM,33,F,Other,Violent Crime,26,Yes,20-04-2025 09:16
100752,21-03-2025 12:48,19-03-2025 21:48,19-03-2025 21:48,Vasai,188,PUBLIC INTOXICATION,38,M,None,Violent Crime,19,No,
100753,12-12-2025 01:23,10-12-2025 01:23,10-12-2025 01:23,Kanpur,256,HOMICIDE,54,M,Explosives,Other Crime,26,Yes,16-02-2026 01:23
100754,18-02-2025 17:02,17-02-2025 10:02,17-02-2025 10:02,Vasai,242,EXTORTION,77,M,Poison,Traffic Fatality,16,Yes,09-04-2025 17:02
100755,15-04-2025 14:09,15-04-2025 00:09,15-04-2025 00:09,Nashik,138,ARSON,80,M,Other,Fire Accident,5,Yes,01-05-2025 14:09
100756,18-11-2025 17:23,16-11-2025 02:23,16-11-2025 02:23,Faridabad,380,FIREARM OFFENSE,24,F,None,Violent Crime,8,No,
100757,17-04-2025 08:00,16-04-2025 19:00,16-04-2025 19:00,Kanpur,239,PUBLIC INTOXICATION,21,F,Firearm,Other Crime,19,No,
100758,03-06-2025 15:18,03-06-2025 07:18,03-06-2025 07:18,Meerut,381,SHOPLIFTING,73,F,Other,Other Crime,1,Yes,12-07-2025 15:18
100759,20-06-2025 16:31,18-06-2025 16:31,18-06-2025 16:31,Bangalore,593,PUBLIC INTOXICATION,74,M,Explosives,Other Crime,4,Yes,12-07-2025 16:31
100760,07-12-2025 02:19,04-12-2025 15:19,04-12-2025 15:19,Bangalore,313,BURGLARY,73,F,Poison,Violent Crime,13,Yes,18-12-2025 02:19
100761,15-04-2025 18:20,15-04-2025 00:20,15-04-2025 00:20,Indore,168,FRAUD,58,M,Knife,Other Crime,11,Yes,30-05-2025 18:20
100762,25-06-2025 13:25,22-06-2025 18:25,22-06-2025 18:25,Nagpur,128,DOMESTIC VIOLENCE,33,M,Poison,Traffic Fatality,30,No,
100763,29-05-2025 04:27,26-05-2025 04:27,26-05-2025 04:27,Varanasi,225,SEXUAL ASSAULT,20,F,None,Fire Accident,17,Yes,02-07-2025 04:27
100764,02-03-2025 14:56,28-02-2025 05:56,28-02-2025 05:56,Mumbai,229,EXTORTION,56,F,Blunt Object,Violent Crime,24,No,
100765,03-11-2025 07:46,01-11-2025 04:46,01-11-2025 04:46,Indore,171,ARSON,21,F,Other,Other Crime,30,No,
100766,09-06-2025 20:37,08-06-2025 18:37,08-06-2025 18:37,Jaipur,187,SEXUAL ASSAULT,14,F,Other,Other Crime,17,Yes,11-08-2025 20:37
100767,22-04-2025 14:26,22-04-2025 06:26,22-04-2025 06:26,Faridabad,529,FRAUD,51,M,Other,Other Crime,1,Yes,07-05-2025 14:26
100768,10-11-2025 16:26,08-11-2025 18:26,08-11-2025 18:26,Chennai,595,DRUG OFFENSE,51,M,Knife,Traffic Fatality,1,Yes,21-01-2026 16:26
100769,20-09-2025 02:16,18-09-2025 11:16,18-09-2025 11:16,Faridabad,144,EXTORTION,40,F,Poison,Violent Crime,25,No,
100770,20-03-2025 19:18,19-03-2025 05:18,19-03-2025 05:18,Surat,388,HOMICIDE,47,F,None,Fire Accident,9,No,
100771,20-12-2025 15:51,19-12-2025 06:51,19-12-2025 06:51,Surat,345,SHOPLIFTING,51,M,Firearm,Violent Crime,26,Yes,25-01-2026 15:51
100772,09-02-2025 04:35,08-02-2025 17:35,08-02-2025 17:35,Patna,112,DRUG OFFENSE,11,F,Explosives,Traffic Fatality,26,No,
100773,08-08-2025 20:45,08-08-2025 02:45,08-08-2025 02:45,Pune,343,HOMICIDE,25,M,Firearm,Other Crime,4,Yes,17-10-2025 20:45
100774,14-11-2025 23:29,14-11-2025 05:29,14-11-2025 05:29,Visakhapatnam,545,FIREARM OFFENSE,51,F,Knife,Other Crime,19,Yes,09-01-2026 23:29
100775,09-01-2025 01:55,06-01-2025 20:55,06-01-2025 20:55,Bhopal,429,FRAUD,46,M,Blunt Object,Traffic Fatality,25,Yes,10-02-2025 01:55
100776,24-06-2025 08:39,22-06-2025 14:39,22-06-2025 14:39,Nashik,491,ROBBERY,66,M,Blunt Object,Traffic Fatality,23,Yes,24-07-2025 08:39
100777,25-02-2025 22:23,24-02-2025 15:23,24-02-2025 15:23,Nashik,325,PUBLIC INTOXICATION,35,M,Knife,Violent Crime,18,Yes,18-05-2025 22:23
100778,23-05-2025 16:51,21-05-2025 17:51,21-05-2025 17:51,Nashik,216,FRAUD,34,F,Other,Violent Crime,10,No,
100779,27-06-2025 03:54,24-06-2025 17:54,24-06-2025 17:54,Thane,464,PUBLIC INTOXICATION,24,F,None,Violent Crime,17,No,
100780,19-12-2025 22:28,17-12-2025 23:28,17-12-2025 23:28,Kolkata,213,KIDNAPPING,38,F,Other,Traffic Fatality,24,No,
100781,11-02-2025 11:13,11-02-2025 11:13,11-02-2025 11:13,Rajkot,145,SEXUAL ASSAULT,21,M,Knife,Violent Crime,22,Yes,30-04-2025 11:13
100782,26-03-2025 22:15,25-03-2025 03:15,25-03-2025 03:15,Surat,158,SHOPLIFTING,62,F,Firearm,Other Crime,13,No,
100783,20-06-2025 04:53,20-06-2025 04:53,20-06-2025 04:53,Faridabad,364,VEHICLE - STOLEN,66,M,Blunt Object,Traffic Fatality,9,No,
100784,22-10-2025 10:14,21-10-2025 02:14,21-10-2025 02:14,Pune,597,VANDALISM,62,F,None,Other Crime,30,No,
100785,10-11-2025 03:21,08-11-2025 23:21,08-11-2025 23:21,Varanasi,376,PUBLIC INTOXICATION,77,F,Poison,Other Crime,7,No,
100786,28-10-2025 19:57,27-10-2025 07:57,27-10-2025 07:57,Ghaziabad,369,ROBBERY,32,M,Knife,Fire Accident,27,No,
100787,27-01-2025 11:39,26-01-2025 17:39,26-01-2025 17:39,Patna,118,IDENTITY THEFT,47,M,Explosives,Traffic Fatality,5,Yes,19-02-2025 11:39
100788,06-08-2025 02:22,04-08-2025 14:22,04-08-2025 14:22,Delhi,204,KIDNAPPING,33,M,Other,Other Crime,8,Yes,07-09-2025 02:22
100789,29-08-2025 14:14,28-08-2025 22:14,28-08-2025 22:14,Faridabad,351,ILLEGAL POSSESSION,12,F,None,Fire Accident,28,Yes,20-10-2025 14:14
100790,14-03-2025 16:36,12-03-2025 07:36,12-03-2025 07:36,Ahmedabad,353,ASSAULT,34,F,Poison,Traffic Fatality,22,No,
100791,11-03-2025 02:53,08-03-2025 20:53,08-03-2025 20:53,Faridabad,202,ARSON,30,F,Poison,Traffic Fatality,7,Yes,11-05-2025 02:53
100792,28-04-2025 00:08,27-04-2025 00:08,27-04-2025 00:08,Patna,111,HOMICIDE,27,F,Other,Other Crime,4,Yes,11-07-2025 00:08
100793,07-02-2025 17:28,06-02-2025 14:28,06-02-2025 14:28,Faridabad,428,COUNTERFEITING,26,F,None,Other Crime,27,Yes,07-03-2025 17:28
100794,24-06-2025 00:46,22-06-2025 09:46,22-06-2025 09:46,Varanasi,347,BURGLARY,45,M,Other,Traffic Fatality,16,Yes,18-08-2025 00:46
100795,05-02-2025 11:12,03-02-2025 17:12,03-02-2025 17:12,Patna,433,ILLEGAL POSSESSION,42,M,None,Fire Accident,12,No,
100796,14-01-2025 10:58,13-01-2025 07:58,13-01-2025 07:58,Surat,176,VEHICLE - STOLEN,46,M,Firearm,Fire Accident,17,Yes,12-03-2025 10:58
100797,08-06-2025 14:41,08-06-2025 14:41,08-06-2025 14:41,Kolkata,577,TRAFFIC VIOLATION,35,F,Blunt Object,Violent Crime,12,Yes,29-06-2025 14:41
100798,19-11-2025 14:38,17-11-2025 06:38,17-11-2025 06:38,Agra,450,DRUG OFFENSE,11,M,Firearm,Other Crime,23,No,
100799,17-02-2025 19:19,17-02-2025 07:19,17-02-2025 07:19,Visakhapatnam,240,VEHICLE - STOLEN,18,M,Firearm,Fire Accident,4,Yes,14-05-2025 19:19
100800,24-08-2025 10:21,23-08-2025 19:21,23-08-2025 19:21,Lucknow,396,EXTORTION,66,F,Poison,Violent Crime,14,No,
100801,19-05-2025 07:26,18-05-2025 20:26,18-05-2025 20:26,Kolkata,585,DRUG OFFENSE,42,F,None,Other Crime,18,Yes,19-07-2025 07:26
100802,11-06-2025 12:37,11-06-2025 08:37,11-06-2025 08:37,Srinagar,291,SHOPLIFTING,38,M,Firearm,Fire Accident,28,Yes,05-09-2025 12:37
100803,10-06-2025 09:14,07-06-2025 19:14,07-06-2025 19:14,Kanpur,199,DRUG OFFENSE,22,F,Poison,Violent Crime,16,Yes,18-08-2025 09:14
100804,02-01-2025 09:43,01-01-2025 11:43,01-01-2025 11:43,Rajkot,401,HOMICIDE,42,F,Other,Other Crime,21,Yes,03-03-2025 09:43
100805,30-12-2025 02:01,30-12-2025 00:01,30-12-2025 00:01,Ghaziabad,116,ASSAULT,67,M,Knife,Traffic Fatality,23,Yes,14-01-2026 02:01
100806,03-03-2025 12:14,01-03-2025 16:14,01-03-2025 16:14,Faridabad,357,DRUG OFFENSE,74,F,Explosives,Other Crime,1,Yes,14-04-2025 12:14
100807,14-10-2025 17:48,13-10-2025 17:48,13-10-2025 17:48,Patna,105,BURGLARY,35,M,Blunt Object,Traffic Fatality,4,Yes,16-12-2025 17:48
100808,07-04-2025 08:39,04-04-2025 15:39,04-04-2025 15:39,Nashik,537,VANDALISM,34,F,Firearm,Other Crime,2,No,
100809,03-12-2025 19:48,01-12-2025 20:48,01-12-2025 20:48,Chennai,473,ASSAULT,66,M,None,Other Crime,11,Yes,22-01-2026 19:48
100810,29-06-2025 21:41,27-06-2025 11:41,27-06-2025 11:41,Bhopal,249,COUNTERFEITING,48,M,Knife,Traffic Fatality,7,No,
100811,17-02-2025 18:04,15-02-2025 05:04,15-02-2025 05:04,Indore,407,KIDNAPPING,46,F,None,Violent Crime,29,Yes,10-05-2025 18:04
100812,01-03-2025 16:10,28-02-2025 13:10,28-02-2025 13:10,Ahmedabad,317,KIDNAPPING,38,M,Blunt Object,Violent Crime,29,Yes,16-04-2025 16:10
100813,05-06-2025 12:16,03-06-2025 06:16,03-06-2025 06:16,Kalyan,525,VANDALISM,32,M,None,Traffic Fatality,30,Yes,04-07-2025 12:16
100814,07-05-2025 23:15,05-05-2025 03:15,05-05-2025 03:15,Nashik,268,COUNTERFEITING,28,M,Poison,Fire Accident,22,Yes,16-06-2025 23:15
100815,29-07-2025 11:51,29-07-2025 09:51,29-07-2025 09:51,Chennai,215,CYBERCRIME,19,F,Blunt Object,Traffic Fatality,20,No,
100816,08-04-2025 07:28,08-04-2025 02:28,08-04-2025 02:28,Pune,538,IDENTITY THEFT,45,M,Explosives,Violent Crime,16,No,
100817,07-12-2025 11:47,05-12-2025 05:47,05-12-2025 05:47,Bhopal,227,ASSAULT,47,M,Knife,Fire Accident,7,No,
100818,15-12-2025 14:15,14-12-2025 00:15,14-12-2025 00:15,Kanpur,136,EXTORTION,51,M,Knife,Fire Accident,1,Yes,08-03-2026 14:15
100819,04-05-2025 16:03,02-05-2025 19:03,02-05-2025 19:03,Nashik,122,ROBBERY,59,F,Poison,Traffic Fatality,22,No,
100820,20-11-2025 07:49,20-11-2025 01:49,20-11-2025 01:49,Bangalore,564,ASSAULT,52,M,Knife,Violent Crime,8,Yes,17-02-2026 07:49
100821,03-09-2025 17:31,31-08-2025 20:31,31-08-2025 20:31,Nashik,330,SHOPLIFTING,32,M,None,Fire Accident,12,Yes,29-11-2025 17:31
100822,09-08-2025 10:46,07-08-2025 06:46,07-08-2025 06:46,Varanasi,465,VANDALISM,69,M,Other,Other Crime,16,No,
100823,29-06-2025 07:48,26-06-2025 11:48,26-06-2025 11:48,Varanasi,371,IDENTITY THEFT,10,M,Explosives,Violent Crime,28,Yes,12-08-2025 07:48
100824,07-12-2025 01:09,06-12-2025 21:09,06-12-2025 21:09,Rajkot,243,FRAUD,78,F,Other,Other Crime,23,No,
100825,20-04-2025 17:29,18-04-2025 03:29,18-04-2025 03:29,Vasai,217,ARSON,73,M,Firearm,Violent Crime,4,Yes,12-06-2025 17:29
100826,22-07-2025 12:07,20-07-2025 10:07,20-07-2025 10:07,Vasai,115,ROBBERY,60,M,Knife,Other Crime,21,Yes,18-10-2025 12:07
100827,21-05-2025 13:45,19-05-2025 08:45,19-05-2025 08:45,Mumbai,451,VANDALISM,77,F,Explosives,Traffic Fatality,5,Yes,14-07-2025 13:45
100828,03-01-2025 03:04,01-01-2025 02:04,01-01-2025 02:04,Kanpur,385,COUNTERFEITING,54,F,Blunt Object,Violent Crime,12,Yes,06-02-2025 03:04
100829,29-10-2025 12:40,28-10-2025 19:40,28-10-2025 19:40,Delhi,592,DRUG OFFENSE,43,M,Blunt Object,Violent Crime,12,Yes,09-01-2026 12:40
100830,13-03-2025 08:44,10-03-2025 08:44,10-03-2025 08:44,Thane,594,SHOPLIFTING,20,M,Firearm,Traffic Fatality,14,Yes,02-05-2025 08:44
