Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Month,Day of Week,Closure Time (Days)
12471,2021-06-05 22:00:00,2021-03-06 14:00:00,05:20:00,Bangalore,103,DOMESTIC VIOLENCE,31,F,Poison,Violent Crime,14,No,,2021,3,Saturday,0
12472,2021-06-04 09:00:00,2021-03-06 15:00:00,12:38:00,Kanpur,544,HOMICIDE,68,M,Other,Other Crime,6,No,,2021,3,Saturday,0
12473,2021-06-03 23:00:00,2021-03-06 16:00:00,16:18:00,Hyderabad,393,ARSON,50,F,Blunt Object,Fire Accident,13,No,,2021,3,Saturday,0
12474,2021-06-04 14:00:00,2021-03-06 17:00:00,00:47:00,Delhi,220,SHOPLIFTING,31,M,Firearm,Other Crime,3,No,,2021,3,Saturday,0
12475,2021-06-05 02:00:00,2021-03-06 18:00:00,20:18:00,Bangalore,436,TRAFFIC VIOLATION,17,M,Blunt Object,Traffic Fatality,16,No,,2021,3,Saturday,0
12476,2021-06-05 02:00:00,2021-03-06 19:00:00,11:56:00,Kolkata,550,IDENTITY THEFT,17,F,Blunt Object,Violent Crime,9,No,,2021,3,Saturday,0
12477,2021-06-06 19:00:00,2021-03-06 20:00:00,04:52:00,Bhopal,121,FRAUD,71,M,Blunt Object,Other Crime,16,No,,2021,3,Saturday,0
12478,2021-06-06 05:00:00,2021-03-06 21:00:00,17:36:00,Meerut,508,FIREARM OFFENSE,40,F,Blunt Object,Fire Accident,2,No,,2021,3,Saturday,0
12479,2021-06-05 05:00:00,2021-03-06 22:00:00,15:30:00,Kalyan,324,ASSAULT,61,M,Unknown,Violent Crime,15,Yes,2021-06-21 05:00:00,2021,3,Saturday,106
12480,2021-06-06 02:00:00,2021-03-06 23:00:00,11:42:00,Ahmedabad,483,TRAFFIC VIOLATION,20,F,Blunt Object,Traffic Fatality,4,Yes,2021-07-01 02:00:00,2021,3,Saturday,116
12481,2021-06-04 22:00:00,2021-04-06 00:00:00,11:41:00,Lucknow,106,CYBERCRIME,10,F,Explosives,Other Crime,18,Yes,2021-08-28 22:00:00,2021,4,Tuesday,144
12482,2021-06-06 10:00:00,2021-04-06 01:00:00,08:29:00,Srinagar,473,VANDALISM,22,F,Knife,Other Crime,12,Yes,2021-07-03 10:00:00,2021,4,Tuesday,88
12483,2021-06-04 23:00:00,2021-04-06 02:00:00,11:33:00,Hyderabad,516,ILLEGAL POSSESSION,65,F,Poison,Other Crime,12,No,,2021,4,Tuesday,0
12484,2021-06-05 03:00:00,2021-04-06 03:00:00,23:11:00,Ahmedabad,442,HOMICIDE,12,F,Poison,Other Crime,13,Yes,2022-05-16 03:00:00,2021,4,Tuesday,405
12485,2021-06-05 05:00:00,2021-04-06 04:00:00,03:40:00,Nashik,458,BURGLARY,58,M,Unknown,Other Crime,9,No,,2021,4,Tuesday,0
12486,2021-06-05 02:00:00,2021-04-06 05:00:00,13:32:00,Bangalore,235,VEHICLE - STOLEN,66,F,Unknown,Violent Crime,11,No,,2021,4,Tuesday,0
12487,2021-06-04 13:00:00,2021-04-06 06:00:00,03:52:00,Agra,161,ILLEGAL POSSESSION,51,M,Blunt Object,Other Crime,16,Yes,2021-06-24 13:00:00,2021,4,Tuesday,79
12488,2021-06-05 08:00:00,2021-04-06 07:00:00,06:58:00,Patna,395,EXTORTION,34,M,Poison,Other Crime,9,Yes,2021-07-21 08:00:00,2021,4,Tuesday,106
12489,2021-06-06 09:00:00,2021-04-06 08:00:00,08:48:00,Delhi,107,VANDALISM,79,F,Explosives,Other Crime,19,Yes,2021-06-30 09:00:00,2021,4,Tuesday,85
12490,2021-06-05 07:00:00,2021-04-06 09:00:00,00:51:00,Delhi,243,BURGLARY,44,F,Firearm,Other Crime,9,No,,2021,4,Tuesday,0
12491,2021-06-07 08:00:00,2021-04-06 10:00:00,19:47:00,Nagpur,525,SEXUAL ASSAULT,27,F,Firearm,Violent Crime,14,Yes,2022-10-21 08:00:00,2021,4,Tuesday,562
12492,2021-06-05 00:00:00,2021-04-06 11:00:00,18:55:00,Delhi,564,ILLEGAL POSSESSION,73,F,Blunt Object,Other Crime,15,Yes,2021-08-06 00:00:00,2021,4,Tuesday,121
12493,2021-06-05 15:00:00,2021-04-06 12:00:00,11:00:00,Kolkata,523,ROBBERY,51,F,Knife,Violent Crime,8,Yes,2021-09-04 15:00:00,2021,4,Tuesday,151
12494,2021-06-05 07:00:00,2021-04-06 13:00:00,13:28:00,Indore,127,FRAUD,44,F,Firearm,Other Crime,7,Yes,2021-06-12 07:00:00,2021,4,Tuesday,66
12495,2021-06-06 01:00:00,2021-04-06 14:00:00,18:50:00,Mumbai,206,PUBLIC INTOXICATION,44,F,Firearm,Other Crime,15,No,,2021,4,Tuesday,0
12496,2021-06-04 16:00:00,2021-04-06 15:00:00,06:16:00,Mumbai,494,FRAUD,65,M,Poison,Other Crime,1,Yes,2021-06-19 16:00:00,2021,4,Tuesday,74
12497,2021-06-07 10:00:00,2021-04-06 16:00:00,15:48:00,Mumbai,517,ARSON,25,F,Firearm,Fire Accident,17,No,,2021,4,Tuesday,0
12498,2021-06-06 20:00:00,2021-04-06 17:00:00,18:47:00,Nagpur,325,ARSON,75,F,Unknown,Fire Accident,18,Yes,2021-07-15 20:00:00,2021,4,Tuesday,100
12499,2021-06-05 11:00:00,2021-04-06 18:00:00,03:11:00,Indore,514,SEXUAL ASSAULT,45,M,Blunt Object,Violent Crime,8,Yes,2023-03-30 11:00:00,2021,4,Tuesday,722
12500,2021-06-06 09:00:00,2021-04-06 19:00:00,10:35:00,Kolkata,184,BURGLARY,50,F,Unknown,Other Crime,1,No,,2021,4,Tuesday,0
12501,2021-06-07 10:00:00,2021-04-06 20:00:00,02:38:00,Delhi,424,ROBBERY,25,F,Blunt Object,Violent Crime,19,Yes,2021-10-09 10:00:00,2021,4,Tuesday,185
12502,2021-06-05 18:00:00,2021-04-06 21:00:00,13:58:00,Visakhapatnam,501,DOMESTIC VIOLENCE,13,F,Blunt Object,Violent Crime,11,Yes,2021-07-06 18:00:00,2021,4,Tuesday,90
12503,2021-06-06 23:00:00,2021-04-06 22:00:00,10:10:00,Indore,162,FRAUD,62,F,Other,Other Crime,15,Yes,2021-09-01 23:00:00,2021,4,Tuesday,148
12504,2021-06-06 00:00:00,2021-04-06 23:00:00,22:27:00,Ahmedabad,566,CYBERCRIME,65,F,Explosives,Other Crime,11,No,,2021,4,Tuesday,0
12505,2021-06-07 19:00:00,2021-05-06 00:00:00,07:05:00,Bangalore,432,ASSAULT,74,F,Poison,Violent Crime,1,Yes,2021-07-09 19:00:00,2021,5,Thursday,64
12506,2021-06-06 19:00:00,2021-05-06 01:00:00,01:27:00,Agra,135,IDENTITY THEFT,43,M,Poison,Violent Crime,6,No,,2021,5,Thursday,0
12507,2021-06-05 12:00:00,2021-05-06 02:00:00,06:23:00,Ludhiana,189,BURGLARY,52,F,Unknown,Other Crime,12,Yes,2021-08-24 12:00:00,2021,5,Thursday,110
12508,2021-06-06 14:00:00,2021-05-06 03:00:00,12:54:00,Ahmedabad,286,SEXUAL ASSAULT,65,M,Knife,Violent Crime,17,No,,2021,5,Thursday,0
12509,2021-06-07 12:00:00,2021-05-06 04:00:00,13:05:00,Kanpur,262,VANDALISM,78,F,Other,Other Crime,11,No,,2021,5,Thursday,0
12510,2021-06-06 19:00:00,2021-05-06 05:00:00,05:00:00,Surat,454,SEXUAL ASSAULT,44,F,Firearm,Violent Crime,12,No,,2021,5,Thursday,0
12511,2021-06-06 20:00:00,2021-05-06 06:00:00,21:35:00,Bangalore,590,VEHICLE - STOLEN,17,F,Unknown,Violent Crime,18,No,,2021,5,Thursday,0
12512,2021-06-06 18:00:00,2021-05-06 07:00:00,18:18:00,Chennai,509,VANDALISM,37,F,Other,Other Crime,16,No,,2021,5,Thursday,0
12513,2021-06-05 12:00:00,2021-05-06 08:00:00,16:08:00,Hyderabad,473,KIDNAPPING,36,F,Explosives,Other Crime,18,No,,2021,5,Thursday,0
12514,2021-06-06 22:00:00,2021-05-06 09:00:00,05:43:00,Mumbai,390,DOMESTIC VIOLENCE,44,F,Poison,Violent Crime,11,No,,2021,5,Thursday,0
12515,2021-06-05 21:00:00,2021-05-06 10:00:00,00:08:00,Chennai,566,VEHICLE - STOLEN,28,M,Unknown,Violent Crime,12,Yes,2021-06-25 21:00:00,2021,5,Thursday,50
12516,2021-06-07 15:00:00,2021-05-06 11:00:00,18:54:00,Pune,509,SEXUAL ASSAULT,69,M,Blunt Object,Violent Crime,8,Yes,2022-03-03 15:00:00,2021,5,Thursday,301
12517,2021-06-08 01:00:00,2021-05-06 12:00:00,18:03:00,Ghaziabad,441,ARSON,19,F,Explosives,Fire Accident,13,Yes,2021-08-12 01:00:00,2021,5,Thursday,97
12518,2021-06-05 14:00:00,2021-05-06 13:00:00,03:06:00,Mumbai,127,ARSON,51,M,Poison,Fire Accident,17,No,,2021,5,Thursday,0
12519,2021-06-07 21:00:00,2021-05-06 14:00:00,17:01:00,Mumbai,598,KIDNAPPING,65,F,Firearm,Other Crime,18,No,,2021,5,Thursday,0
12520,2021-06-07 13:00:00,2021-05-06 15:00:00,11:21:00,Mumbai,377,DRUG OFFENSE,50,F,Firearm,Other Crime,6,Yes,2021-08-05 13:00:00,2021,5,Thursday,90
12521,2021-06-07 05:00:00,2021-05-06 16:00:00,07:43:00,Surat,218,TRAFFIC VIOLATION,78,F,Explosives,Traffic Fatality,18,No,,2021,5,Thursday,0
12522,2021-06-07 17:00:00,2021-05-06 17:00:00,23:29:00,Lucknow,276,FRAUD,52,F,Explosives,Other Crime,2,Yes,2021-06-19 17:00:00,2021,5,Thursday,44
12523,2021-06-08 01:00:00,2021-05-06 18:00:00,06:14:00,Kolkata,335,TRAFFIC VIOLATION,79,F,Poison,Traffic Fatality,2,No,,2021,5,Thursday,0
12524,2021-06-06 10:00:00,2021-05-06 19:00:00,18:48:00,Delhi,394,EXTORTION,62,F,Blunt Object,Other Crime,1,Yes,2021-07-17 10:00:00,2021,5,Thursday,71
12525,2021-06-08 19:00:00,2021-05-06 20:00:00,00:41:00,Delhi,478,VANDALISM,46,F,Firearm,Other Crime,12,No,,2021,5,Thursday,0
12526,2021-06-06 03:00:00,2021-05-06 21:00:00,04:58:00,Mumbai,530,FRAUD,68,M,Knife,Other Crime,3,Yes,2021-08-04 03:00:00,2021,5,Thursday,89
12527,2021-06-08 06:00:00,2021-05-06 22:00:00,10:50:00,Lucknow,292,EXTORTION,44,M,Poison,Other Crime,17,Yes,2021-07-12 06:00:00,2021,5,Thursday,66
12528,2021-06-06 06:00:00,2021-05-06 23:00:00,10:54:00,Lucknow,185,ASSAULT,26,F,Firearm,Violent Crime,4,No,,2021,5,Thursday,0
12529,2021-06-08 05:00:00,2021-06-06 00:00:00,14:06:00,Kolkata,586,TRAFFIC VIOLATION,38,F,Knife,Traffic Fatality,12,No,,2021,6,Sunday,0
12530,2021-06-07 15:00:00,2021-06-06 01:00:00,10:22:00,Pune,558,TRAFFIC VIOLATION,16,F,Poison,Traffic Fatality,1,Yes,2021-06-16 15:00:00,2021,6,Sunday,10
12531,2021-06-08 08:00:00,2021-06-06 02:00:00,04:05:00,Ludhiana,246,VEHICLE - STOLEN,16,M,Knife,Violent Crime,16,No,,2021,6,Sunday,0
12532,2021-06-09 00:00:00,2021-06-06 03:00:00,08:02:00,Bhopal,227,ARSON,24,M,Firearm,Fire Accident,6,No,,2021,6,Sunday,0
12533,2021-06-08 15:00:00,2021-06-06 04:00:00,20:25:00,Jaipur,375,FIREARM OFFENSE,40,F,Poison,Fire Accident,7,No,,2021,6,Sunday,0
12534,2021-06-08 18:00:00,2021-06-06 05:00:00,14:16:00,Mumbai,331,CYBERCRIME,77,F,Unknown,Other Crime,13,Yes,2021-07-21 18:00:00,2021,6,Sunday,45
12535,2021-06-07 14:00:00,2021-06-06 06:00:00,15:34:00,Bangalore,313,DRUG OFFENSE,55,F,Blunt Object,Other Crime,8,Yes,2021-08-18 14:00:00,2021,6,Sunday,73
12536,2021-06-08 13:00:00,2021-06-06 07:00:00,14:43:00,Mumbai,129,VEHICLE - STOLEN,63,M,Unknown,Violent Crime,10,No,,2021,6,Sunday,0
12537,2021-06-09 05:00:00,2021-06-06 08:00:00,10:33:00,Ahmedabad,367,EXTORTION,62,F,Knife,Other Crime,2,No,,2021,6,Sunday,0
12538,2021-06-06 13:00:00,2021-06-06 09:00:00,07:42:00,Bangalore,222,FIREARM OFFENSE,36,F,Blunt Object,Fire Accident,5,Yes,2021-07-22 13:00:00,2021,6,Sunday,46
12539,2021-06-06 12:00:00,2021-06-06 10:00:00,02:54:00,Hyderabad,460,FIREARM OFFENSE,29,F,Unknown,Fire Accident,9,No,,2021,6,Sunday,0
12540,2021-06-07 15:00:00,2021-06-06 11:00:00,17:58:00,Pune,501,ROBBERY,58,M,Explosives,Violent Crime,13,Yes,2021-12-03 15:00:00,2021,6,Sunday,180
12541,2021-06-08 01:00:00,2021-06-06 12:00:00,11:07:00,Ghaziabad,419,TRAFFIC VIOLATION,71,F,Poison,Traffic Fatality,8,No,,2021,6,Sunday,0
12542,2021-06-08 23:00:00,2021-06-06 13:00:00,04:09:00,Bangalore,485,EXTORTION,73,F,Firearm,Other Crime,2,Yes,2021-08-19 23:00:00,2021,6,Sunday,74
12543,2021-06-06 20:00:00,2021-06-06 14:00:00,23:45:00,Srinagar,259,DOMESTIC VIOLENCE,21,F,Poison,Violent Crime,1,Yes,2021-07-18 20:00:00,2021,6,Sunday,42
12544,2021-06-08 18:00:00,2021-06-06 15:00:00,18:32:00,Nagpur,370,VANDALISM,11,F,Blunt Object,Other Crime,6,No,,2021,6,Sunday,0
12545,2021-06-07 18:00:00,2021-06-06 16:00:00,22:35:00,Ahmedabad,332,DOMESTIC VIOLENCE,22,F,Poison,Violent Crime,6,No,,2021,6,Sunday,0
12546,2021-06-07 19:00:00,2021-06-06 17:00:00,01:01:00,Kanpur,115,DRUG OFFENSE,53,F,Firearm,Other Crime,4,Yes,2021-07-18 19:00:00,2021,6,Sunday,42
12547,2021-06-08 00:00:00,2021-06-06 18:00:00,16:32:00,Delhi,561,ASSAULT,52,F,Other,Violent Crime,18,No,,2021,6,Sunday,0
12548,2021-06-08 14:00:00,2021-06-06 19:00:00,08:46:00,Hyderabad,262,VANDALISM,79,M,Poison,Other Crime,3,No,,2021,6,Sunday,0
12549,2021-06-08 05:00:00,2021-06-06 20:00:00,16:03:00,Kolkata,572,ARSON,72,F,Unknown,Fire Accident,1,No,,2021,6,Sunday,0
12550,2021-06-09 05:00:00,2021-06-06 21:00:00,17:46:00,Mumbai,461,PUBLIC INTOXICATION,28,F,Blunt Object,Other Crime,7,No,,2021,6,Sunday,0
12551,2021-06-09 12:00:00,2021-06-06 22:00:00,00:51:00,Pune,566,HOMICIDE,65,F,Poison,Other Crime,17,No,,2021,6,Sunday,0
12552,2021-06-09 04:00:00,2021-06-06 23:00:00,21:39:00,Hyderabad,144,SHOPLIFTING,63,M,Other,Other Crime,6,No,,2021,6,Sunday,0
12553,2021-06-07 05:00:00,2021-07-06 00:00:00,03:52:00,Delhi,471,VEHICLE - STOLEN,25,F,Explosives,Violent Crime,8,No,,2021,7,Tuesday,0
12554,2021-06-08 10:00:00,2021-07-06 01:00:00,18:26:00,Mumbai,305,KIDNAPPING,41,F,Other,Other Crime,7,No,,2021,7,Tuesday,0
12555,2021-06-08 23:00:00,2021-07-06 02:00:00,13:20:00,Delhi,251,SEXUAL ASSAULT,44,F,Knife,Violent Crime,3,No,,2021,7,Tuesday,0
12556,2021-06-07 17:00:00,2021-07-06 03:00:00,08:05:00,Thane,439,CYBERCRIME,12,M,Unknown,Other Crime,5,Yes,2021-07-24 17:00:00,2021,7,Tuesday,18
12557,2021-06-09 22:00:00,2021-07-06 04:00:00,06:32:00,Mumbai,545,ROBBERY,49,M,Firearm,Violent Crime,10,No,,2021,7,Tuesday,0
12558,2021-06-08 13:00:00,2021-07-06 05:00:00,01:25:00,Indore,396,ILLEGAL POSSESSION,71,M,Knife,Other Crime,4,Yes,2021-07-16 13:00:00,2021,7,Tuesday,10
12559,2021-06-08 05:00:00,2021-07-06 06:00:00,13:53:00,Delhi,268,DRUG OFFENSE,54,F,Knife,Other Crime,6,No,,2021,7,Tuesday,0
12560,2021-06-08 00:00:00,2021-07-06 07:00:00,18:25:00,Faridabad,403,DOMESTIC VIOLENCE,70,F,Firearm,Violent Crime,5,Yes,2021-07-15 00:00:00,2021,7,Tuesday,8
12561,2021-06-08 07:00:00,2021-07-06 08:00:00,02:24:00,Chennai,407,BURGLARY,55,F,Explosives,Other Crime,18,No,,2021,7,Tuesday,0
12562,2021-06-08 02:00:00,2021-07-06 09:00:00,13:16:00,Surat,264,VANDALISM,14,F,Knife,Other Crime,9,Yes,2021-08-28 02:00:00,2021,7,Tuesday,52
12563,2021-06-10 00:00:00,2021-07-06 10:00:00,23:25:00,Delhi,405,ILLEGAL POSSESSION,60,M,Blunt Object,Other Crime,4,No,,2021,7,Tuesday,0
12564,2021-06-08 12:00:00,2021-07-06 11:00:00,19:43:00,Pune,481,SHOPLIFTING,78,F,Poison,Other Crime,19,Yes,2021-08-26 12:00:00,2021,7,Tuesday,51
12565,2021-06-08 20:00:00,2021-07-06 12:00:00,13:37:00,Delhi,297,ARSON,30,F,Poison,Fire Accident,9,Yes,2021-07-15 20:00:00,2021,7,Tuesday,9
12566,2021-06-09 21:00:00,2021-07-06 13:00:00,22:27:00,Chennai,370,ARSON,47,F,Other,Fire Accident,6,No,,2021,7,Tuesday,0
12567,2021-06-09 22:00:00,2021-07-06 14:00:00,06:14:00,Mumbai,315,FRAUD,47,F,Knife,Other Crime,16,No,,2021,7,Tuesday,0
12568,2021-06-08 07:00:00,2021-07-06 15:00:00,12:29:00,Pune,496,HOMICIDE,75,F,Poison,Other Crime,12,Yes,2022-11-09 07:00:00,2021,7,Tuesday,490
12569,2021-06-09 19:00:00,2021-07-06 16:00:00,06:41:00,Kolkata,229,HOMICIDE,14,F,Explosives,Other Crime,6,No,,2021,7,Tuesday,0
12570,2021-06-09 07:00:00,2021-07-06 17:00:00,19:16:00,Kolkata,282,ROBBERY,69,F,Explosives,Violent Crime,17,Yes,2021-11-08 07:00:00,2021,7,Tuesday,124
12571,2021-06-09 21:00:00,2021-07-06 18:00:00,20:12:00,Mumbai,183,SEXUAL ASSAULT,54,F,Other,Violent Crime,17,Yes,2022-05-20 21:00:00,2021,7,Tuesday,318
12572,2021-06-10 03:00:00,2021-07-06 19:00:00,21:06:00,Kanpur,338,FRAUD,57,F,Explosives,Other Crime,16,Yes,2021-06-26 03:00:00,2021,7,Tuesday,-11
12573,2021-06-09 10:00:00,2021-07-06 20:00:00,13:43:00,Hyderabad,124,EXTORTION,28,M,Explosives,Other Crime,11,No,,2021,7,Tuesday,0
12574,2021-06-10 19:00:00,2021-07-06 21:00:00,05:08:00,Chennai,216,PUBLIC INTOXICATION,32,M,Knife,Other Crime,17,No,,2021,7,Tuesday,0
12575,2021-06-09 11:00:00,2021-07-06 22:00:00,17:58:00,Pune,205,ARSON,45,F,Unknown,Fire Accident,9,Yes,2021-08-07 11:00:00,2021,7,Tuesday,31
12576,2021-06-08 23:00:00,2021-07-06 23:00:00,04:17:00,Bangalore,570,DOMESTIC VIOLENCE,46,F,Other,Violent Crime,16,No,,2021,7,Tuesday,0
12577,2021-06-10 05:00:00,2021-08-06 00:00:00,04:11:00,Agra,275,EXTORTION,51,F,Knife,Other Crime,17,Yes,2021-07-19 05:00:00,2021,8,Friday,-18
12578,2021-06-10 11:00:00,2021-08-06 01:00:00,20:05:00,Hyderabad,311,EXTORTION,69,F,Other,Other Crime,4,No,,2021,8,Friday,0
12579,2021-06-08 12:00:00,2021-08-06 02:00:00,12:54:00,Delhi,251,HOMICIDE,44,F,Unknown,Other Crime,6,Yes,2022-09-13 12:00:00,2021,8,Friday,403
12580,2021-06-09 12:00:00,2021-08-06 03:00:00,15:11:00,Mumbai,231,ILLEGAL POSSESSION,14,F,Unknown,Other Crime,2,No,,2021,8,Friday,0
12581,2021-06-09 05:00:00,2021-08-06 04:00:00,00:29:00,Jaipur,254,ILLEGAL POSSESSION,64,M,Explosives,Other Crime,14,Yes,2021-07-28 05:00:00,2021,8,Friday,-9
12582,2021-06-10 00:00:00,2021-08-06 05:00:00,20:54:00,Hyderabad,144,IDENTITY THEFT,37,F,Other,Violent Crime,7,No,,2021,8,Friday,0
12583,2021-06-09 06:00:00,2021-08-06 06:00:00,02:48:00,Hyderabad,213,COUNTERFEITING,36,M,Knife,Other Crime,13,Yes,2021-08-15 06:00:00,2021,8,Friday,9
12584,2021-06-11 04:00:00,2021-08-06 07:00:00,00:58:00,Ahmedabad,206,DRUG OFFENSE,74,F,Unknown,Other Crime,5,No,,2021,8,Friday,0
12585,2021-06-10 11:00:00,2021-08-06 08:00:00,17:25:00,Varanasi,397,ILLEGAL POSSESSION,56,F,Blunt Object,Other Crime,12,No,,2021,8,Friday,0
12586,2021-06-10 08:00:00,2021-08-06 09:00:00,08:36:00,Jaipur,424,PUBLIC INTOXICATION,55,F,Explosives,Other Crime,13,Yes,2021-06-30 08:00:00,2021,8,Friday,-38
12587,2021-06-10 19:00:00,2021-08-06 10:00:00,19:35:00,Indore,470,IDENTITY THEFT,23,F,Explosives,Violent Crime,4,Yes,2021-08-12 19:00:00,2021,8,Friday,6
12588,2021-06-09 00:00:00,2021-08-06 11:00:00,02:21:00,Delhi,486,DRUG OFFENSE,61,F,Blunt Object,Other Crime,12,Yes,2021-07-03 00:00:00,2021,8,Friday,-35
12589,2021-06-08 20:00:00,2021-08-06 12:00:00,12:21:00,Ahmedabad,366,BURGLARY,25,F,Explosives,Other Crime,5,No,,2021,8,Friday,0
12590,2021-06-10 07:00:00,2021-08-06 13:00:00,07:31:00,Nagpur,328,VANDALISM,48,F,Knife,Other Crime,18,No,,2021,8,Friday,0
12591,2021-06-09 15:00:00,2021-08-06 14:00:00,15:13:00,Mumbai,398,SHOPLIFTING,39,F,Poison,Other Crime,2,Yes,2021-09-02 15:00:00,2021,8,Friday,27
12592,2021-06-09 20:00:00,2021-08-06 15:00:00,18:31:00,Patna,484,ROBBERY,17,M,Firearm,Violent Crime,13,Yes,2021-07-21 20:00:00,2021,8,Friday,-16
12593,2021-06-11 00:00:00,2021-08-06 16:00:00,06:47:00,Nagpur,176,ROBBERY,60,F,Knife,Violent Crime,14,No,,2021,8,Friday,0
12594,2021-06-09 01:00:00,2021-08-06 17:00:00,05:37:00,Kolkata,588,DOMESTIC VIOLENCE,27,F,Blunt Object,Violent Crime,15,Yes,2021-06-18 01:00:00,2021,8,Friday,-50
12595,2021-06-08 19:00:00,2021-08-06 18:00:00,01:02:00,Kolkata,360,FRAUD,40,M,Blunt Object,Other Crime,1,Yes,2021-09-04 19:00:00,2021,8,Friday,29
12596,2021-06-11 01:00:00,2021-08-06 19:00:00,14:45:00,Vasai,529,FRAUD,56,F,Other,Other Crime,9,Yes,2021-08-19 01:00:00,2021,8,Friday,12
12597,2021-06-10 22:00:00,2021-08-06 20:00:00,03:29:00,Jaipur,469,SEXUAL ASSAULT,61,F,Other,Violent Crime,9,No,,2021,8,Friday,0
12598,2021-06-10 20:00:00,2021-08-06 21:00:00,20:19:00,Delhi,455,PUBLIC INTOXICATION,46,M,Explosives,Other Crime,1,No,,2021,8,Friday,0
12599,2021-06-09 00:00:00,2021-08-06 22:00:00,23:22:00,Ludhiana,171,DOMESTIC VIOLENCE,70,M,Explosives,Violent Crime,8,No,,2021,8,Friday,0
12600,2021-06-11 13:00:00,2021-08-06 23:00:00,01:47:00,Visakhapatnam,290,SHOPLIFTING,30,F,Other,Other Crime,10,No,,2021,8,Friday,0
12601,2021-06-10 03:00:00,2021-09-06 00:00:00,20:51:00,Mumbai,458,VEHICLE - STOLEN,70,M,Blunt Object,Violent Crime,5,No,,2021,9,Monday,0
12602,2021-06-10 10:00:00,2021-09-06 01:00:00,16:22:00,Nagpur,394,ASSAULT,28,M,Knife,Violent Crime,8,No,,2021,9,Monday,0
12603,2021-06-10 17:00:00,2021-09-06 02:00:00,03:39:00,Mumbai,249,VANDALISM,14,F,Firearm,Other Crime,13,No,,2021,9,Monday,0
12604,2021-06-09 04:00:00,2021-09-06 03:00:00,08:02:00,Kolkata,588,ARSON,17,M,Poison,Fire Accident,3,Yes,2021-07-16 04:00:00,2021,9,Monday,-52
12605,2021-06-10 06:00:00,2021-09-06 04:00:00,10:04:00,Chennai,164,HOMICIDE,49,F,Knife,Other Crime,1,Yes,2022-01-01 06:00:00,2021,9,Monday,117
12606,2021-06-11 07:00:00,2021-09-06 05:00:00,04:57:00,Kalyan,487,ILLEGAL POSSESSION,20,F,Poison,Other Crime,11,Yes,2021-08-13 07:00:00,2021,9,Monday,-24
12607,2021-06-11 07:00:00,2021-09-06 06:00:00,14:35:00,Kolkata,101,BURGLARY,59,M,Explosives,Other Crime,7,No,,2021,9,Monday,0
12608,2021-06-11 17:00:00,2021-09-06 07:00:00,05:56:00,Kolkata,390,DOMESTIC VIOLENCE,50,M,Knife,Violent Crime,7,No,,2021,9,Monday,0
12609,2021-06-11 20:00:00,2021-09-06 08:00:00,06:49:00,Kalyan,159,ARSON,56,F,Poison,Fire Accident,17,Yes,2021-08-08 20:00:00,2021,9,Monday,-29
12610,2021-06-09 19:00:00,2021-09-06 09:00:00,20:47:00,Surat,260,ARSON,20,M,Explosives,Fire Accident,18,Yes,2021-08-27 19:00:00,2021,9,Monday,-10
12611,2021-06-10 04:00:00,2021-09-06 10:00:00,14:20:00,Bhopal,133,BURGLARY,54,M,Explosives,Other Crime,3,No,,2021,9,Monday,0
12612,2021-06-11 00:00:00,2021-09-06 11:00:00,14:43:00,Delhi,156,DOMESTIC VIOLENCE,10,F,Unknown,Violent Crime,12,Yes,2021-07-14 00:00:00,2021,9,Monday,-55
12613,2021-06-11 04:00:00,2021-09-06 12:00:00,06:11:00,Ahmedabad,230,VANDALISM,20,F,Unknown,Other Crime,12,Yes,2021-08-30 04:00:00,2021,9,Monday,-8
12614,2021-06-10 01:00:00,2021-09-06 13:00:00,13:25:00,Jaipur,348,FIREARM OFFENSE,57,F,Other,Fire Accident,12,Yes,2021-09-02 01:00:00,2021,9,Monday,-5
12615,2021-06-10 13:00:00,2021-09-06 14:00:00,02:05:00,Indore,362,ILLEGAL POSSESSION,18,F,Poison,Other Crime,2,Yes,2021-07-21 13:00:00,2021,9,Monday,-48
12616,2021-06-11 03:00:00,2021-09-06 15:00:00,05:11:00,Delhi,110,HOMICIDE,54,F,Knife,Other Crime,8,No,,2021,9,Monday,0
12617,2021-06-12 00:00:00,2021-09-06 16:00:00,00:38:00,Indore,190,COUNTERFEITING,11,F,Poison,Other Crime,8,No,,2021,9,Monday,0
12618,2021-06-11 17:00:00,2021-09-06 17:00:00,00:23:00,Varanasi,132,CYBERCRIME,67,F,Explosives,Other Crime,14,Yes,2021-07-18 17:00:00,2021,9,Monday,-50
12619,2021-06-11 00:00:00,2021-09-06 18:00:00,20:33:00,Mumbai,266,VEHICLE - STOLEN,30,M,Poison,Violent Crime,10,No,,2021,9,Monday,0
12620,2021-06-12 18:00:00,2021-09-06 19:00:00,14:37:00,Kolkata,296,VEHICLE - STOLEN,74,M,Poison,Violent Crime,7,No,,2021,9,Monday,0
12621,2021-06-11 12:00:00,2021-09-06 20:00:00,08:59:00,Pune,301,HOMICIDE,74,M,Explosives,Other Crime,11,No,,2021,9,Monday,0
